city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
DEN,2026-08-10,KXHIGHDEN-26AUG10-B96.5,no,0.915,0.53,34,0.368,True,15.38
DEN,2026-08-10,KXHIGHDEN-26AUG10-B94.5,no,0.791,0.58,28,0.194,False,-16.72
DEN,2026-08-10,KXHIGHDEN-26AUG10-B92.5,yes,0.296,0.06,5,0.232,False,-0.32
DEN,2026-08-09,KXHIGHDEN-26AUG09-T94,yes,0.492,0.02,17,0.471,False,-0.37
DEN,2026-08-09,KXHIGHDEN-26AUG09-B98.5,no,0.946,0.45,12,0.478,True,6.39
DEN,2026-08-09,KXHIGHDEN-26AUG09-B96.5,no,0.837,0.71,34,0.113,False,-24.64
DEN,2026-08-09,KXHIGHDEN-26AUG09-B100.5,no,0.99,0.92,30,0.064,True,2.24
DEN,2026-08-08,KXHIGHDEN-26AUG08-T96,yes,0.303,0.02,4,0.282,False,-0.09
DEN,2026-08-08,KXHIGHDEN-26AUG08-B98.5,no,0.754,0.64,62,0.098,True,21.32
DEN,2026-08-08,KXHIGHDEN-26AUG08-B96.5,yes,0.294,0.03,19,0.262,False,-0.61
DEN,2026-08-08,KXHIGHDEN-26AUG08-B102.5,no,0.967,0.89,18,0.071,True,1.85
DEN,2026-08-08,KXHIGHDEN-26AUG08-B100.5,no,0.882,0.54,30,0.324,False,-16.73
DEN,2026-08-07,KXHIGHDEN-26AUG07-T93,yes,0.277,0.03,1,0.245,False,-0.04
DEN,2026-08-07,KXHIGHDEN-26AUG07-B97.5,no,0.87,0.59,29,0.263,True,11.39
DEN,2026-08-07,KXHIGHDEN-26AUG07-B95.5,no,0.743,0.56,49,0.166,False,-28.29
DEN,2026-08-06,KXHIGHDEN-26AUG06-T92,yes,0.447,0.02,88,0.425,False,-1.89
DEN,2026-08-06,KXHIGHDEN-26AUG06-B98.5,no,0.986,0.92,43,0.061,True,3.21
DEN,2026-08-06,KXHIGHDEN-26AUG06-B96.5,no,0.934,0.45,53,0.466,False,-24.77
DEN,2026-08-06,KXHIGHDEN-26AUG06-B94.5,no,0.817,0.69,45,0.112,True,13.27
DEN,2026-08-06,KXHIGHDEN-26AUG06-B92.5,yes,0.288,0.05,32,0.235,False,-1.71
DEN,2026-08-05,KXHIGHDEN-26AUG05-T83,yes,0.655,0.18,91,0.465,False,-17.33
DEN,2026-08-05,KXHIGHDEN-26AUG05-B87.5,no,0.976,0.85,32,0.118,True,4.51
DEN,2026-08-05,KXHIGHDEN-26AUG05-B85.5,no,0.905,0.65,30,0.239,True,10.02
DEN,2026-08-05,KXHIGHDEN-26AUG05-B83.5,no,0.778,0.66,49,0.102,False,-33.11
DEN,2026-08-04,KXHIGHDEN-26AUG04-T75,yes,0.962,0.16,51,0.792,True,42.36
DEN,2026-08-04,KXHIGHDEN-26AUG04-B79.5,no,1.0,0.85,47,0.141,True,6.63
DEN,2026-08-04,KXHIGHDEN-26AUG04-B77.5,no,0.995,0.6,66,0.378,True,25.29
DEN,2026-08-04,KXHIGHDEN-26AUG04-B75.5,no,0.967,0.69,57,0.262,True,16.81
DEN,2026-08-03,KXHIGHDEN-26AUG03-T95,yes,0.101,0.02,6,0.079,False,-0.13
DEN,2026-08-03,KXHIGHDEN-26AUG03-B99.5,no,0.754,0.55,72,0.187,True,31.15
DEN,2026-08-03,KXHIGHDEN-26AUG03-B97.5,yes,0.294,0.07,26,0.22,False,-1.94
