city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
CHI,2026-06-08,KXHIGHCHI-26JUN08-T80,no,0.987,0.96,41,0.025,True,1.52
CHI,2026-06-08,KXHIGHCHI-26JUN08-B86.5,yes,0.264,0.09,19,0.168,False,-1.82
CHI,2026-06-08,KXHIGHCHI-26JUN08-B82.5,no,0.87,0.59,67,0.263,False,-40.67
CHI,2026-06-08,KXHIGHCHI-26JUN08-B80.5,no,0.953,0.84,45,0.104,True,6.77
CHI,2026-06-07,KXHIGHCHI-26JUN07-T84,yes,0.694,0.05,138,0.641,False,-7.36
CHI,2026-06-07,KXHIGHCHI-26JUN07-B83.5,no,0.812,0.65,61,0.146,False,-40.63
CHI,2026-06-07,KXHIGHCHI-26JUN07-B81.5,no,0.913,0.47,29,0.426,True,14.86
CHI,2026-06-06,KXHIGHCHI-26JUN06-T88,no,0.969,0.93,43,0.035,True,2.81
CHI,2026-06-06,KXHIGHCHI-26JUN06-T81,yes,0.198,0.02,266,0.177,False,-5.69
CHI,2026-06-06,KXHIGHCHI-26JUN06-B87.5,no,0.914,0.65,61,0.248,False,-40.63
CHI,2026-06-06,KXHIGHCHI-26JUN06-B85.5,no,0.812,0.64,62,0.156,True,21.32
CHI,2026-06-06,KXHIGHCHI-26JUN06-B81.5,yes,0.235,0.04,141,0.192,False,-6.02
CHI,2026-06-05,KXHIGHCHI-26JUN05-T82,no,0.567,0.12,85,0.439,False,-10.83
CHI,2026-06-05,KXHIGHCHI-26JUN05-B86.5,yes,0.086,0.02,42,0.065,False,-0.9
CHI,2026-06-05,KXHIGHCHI-26JUN05-B84.5,yes,0.188,0.04,101,0.145,False,-4.32
CHI,2026-06-05,KXHIGHCHI-26JUN05-B82.5,yes,0.262,0.12,199,0.135,False,-25.36
CHI,2026-06-04,KXHIGHCHI-26JUN04-T93,yes,0.055,0.02,13,0.034,False,-0.28
CHI,2026-06-04,KXHIGHCHI-26JUN04-B92.5,yes,0.124,0.02,28,0.103,False,-0.6
CHI,2026-06-04,KXHIGHCHI-26JUN04-B90.5,yes,0.226,0.05,97,0.173,False,-5.18
CHI,2026-06-04,KXHIGHCHI-26JUN04-B88.5,no,0.735,0.57,66,0.148,True,27.24
CHI,2026-06-04,KXHIGHCHI-26JUN04-B86.5,no,0.802,0.58,68,0.204,False,-40.6
CHI,2026-06-03,KXHIGHCHI-26JUN03-T80,yes,0.063,0.04,209,0.021,False,-8.93
CHI,2026-06-03,KXHIGHCHI-26JUN03-B86.5,yes,0.188,0.04,192,0.145,False,-8.2
CHI,2026-06-03,KXHIGHCHI-26JUN03-B84.5,no,0.738,0.68,58,0.042,True,17.67
CHI,2026-06-03,KXHIGHCHI-26JUN03-B82.5,no,0.765,0.43,93,0.318,False,-41.59
CHI,2026-06-03,KXHIGHCHI-26JUN03-B80.5,yes,0.135,0.06,15,0.071,False,-0.96
CHI,2026-06-02,KXHIGHCHI-26JUN02-T72,yes,0.228,0.02,549,0.206,False,-11.74
CHI,2026-06-02,KXHIGHCHI-26JUN02-B78.5,yes,0.074,0.03,50,0.042,False,-1.61
CHI,2026-06-02,KXHIGHCHI-26JUN02-B76.5,no,0.828,0.76,52,0.055,True,11.81
CHI,2026-06-02,KXHIGHCHI-26JUN02-B74.5,no,0.743,0.42,86,0.306,False,-37.59
CHI,2026-06-02,KXHIGHCHI-26JUN02-B72.5,yes,0.246,0.16,216,0.076,False,-36.6
CHI,2026-06-01,KXHIGHCHI-26JUN01-T79,yes,0.048,0.02,7,0.026,False,-0.15
CHI,2026-06-01,KXHIGHCHI-26JUN01-T72,no,0.854,0.58,68,0.257,False,-40.6
CHI,2026-06-01,KXHIGHCHI-26JUN01-B78.5,yes,0.114,0.02,4,0.093,False,-0.09
CHI,2026-06-01,KXHIGHCHI-26JUN01-B76.5,yes,0.217,0.02,76,0.196,False,-1.63
CHI,2026-06-01,KXHIGHCHI-26JUN01-B74.5,yes,0.266,0.09,236,0.17,False,-22.6
CHI,2026-06-01,KXHIGHCHI-26JUN01-B72.5,no,0.792,0.48,54,0.294,True,27.13
CHI,2026-05-31,KXHIGHCHI-26MAY31-T81,yes,0.146,0.02,14,0.124,False,-0.3
CHI,2026-05-31,KXHIGHCHI-26MAY31-T74,no,0.952,0.57,70,0.365,True,28.89
