wallets,n_wallets,bet_size,peak_concurrent,peak_capital,fits_bankroll,total_trades,active_weeks,timespan_weeks,weekly_mean,weekly_time_avg,weekly_median,weekly_p25,weekly_p75,weekly_min,weekly_max,pct_profitable_weeks,total_pnl
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",3,35,57,1995,True,1267,35,97.3,504.55,181.52,311.44,-4.74,786.45,-1062.44,2564.47,71.4,17659.13
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,65,30,1950,True,1209,32,30.9,480.45,498.25,249.04,-156.5,1117.65,-1785.04,2914.08,65.6,15374.46
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",3,25,74,1850,True,1364,32,71.4,147.59,66.12,115.04,-61.59,323.81,-1011.02,1003.65,62.5,4722.84
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,29,1885,True,2885,38,95.3,734.25,292.82,451.92,-185.09,1276.08,-2384.09,5516.81,60.5,27901.4
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,30,1950,True,1463,46,94.4,722.34,351.88,326.11,109.5,1166.6,-1829.78,6009.39,82.6,33227.86
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,70,28,1960,True,1552,38,94.7,783.38,314.3,374.75,-89.75,1312.69,-2874.63,6855.7,71.1,29768.58
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,29,1885,True,1490,46,95.0,649.88,314.68,291.66,-131.62,1240.42,-1882.84,5884.05,58.7,29894.59
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,30,59,1770,True,1882,40,97.3,514.13,211.39,290.71,-21.16,610.02,-912.11,3830.91,67.5,20565.33
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,70,28,1960,True,1824,38,95.3,769.07,306.71,480.23,-118.78,1313.51,-2128.25,5716.64,63.2,29224.62
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,25,74,1850,True,1979,38,94.4,243.34,97.93,145.81,-59.68,468.19,-927.68,2082.41,63.2,9246.95
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,70,28,1960,True,2262,41,71.7,494.31,282.6,227.1,-124.93,1000.47,-2579.95,4540.84,70.7,20266.53
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,65,29,1885,True,2351,32,30.9,413.54,428.86,180.3,-340.9,1128.59,-2468.22,4042.61,59.4,13233.31
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,70,28,1960,True,2289,40,58.6,416.92,284.73,-6.07,-279.39,733.32,-1690.1,3869.8,47.5,16676.85
