window_ts,series,ticker,side,ask,secs_left,has_companion,won,profit,result
1785732300,KXNEAR15M,KXNEAR15M-26AUG030045-45,no,85,360,True,True,5.74,no
1785735000,KXSOL15M,KXSOL15M-26AUG030130-30,no,86,600,True,True,5.3,no
1785735000,KXDOGE15M,KXDOGE15M-26AUG030130-30,no,87,600,False,True,4.86,no
1785735000,KXXRP15M,KXXRP15M-26AUG030130-30,no,85,600,True,True,5.74,no
1785735900,KXDOGE15M,KXDOGE15M-26AUG030145-45,no,87,480,True,True,4.86,no
1785736800,KXETH15M,KXETH15M-26AUG030200-00,yes,89,480,True,True,4.02,yes
1785736800,KXXRP15M,KXXRP15M-26AUG030200-00,yes,89,360,True,True,4.02,yes
1785738600,KXBTC15M,KXBTC15M-26AUG030230-30,no,85,360,True,True,5.74,no
1785738600,KXDOGE15M,KXDOGE15M-26AUG030230-30,no,86,300,True,True,5.3,no
1785738600,KXHYPE15M,KXHYPE15M-26AUG030230-30,no,86,360,True,True,5.3,no
1785740400,KXDOGE15M,KXDOGE15M-26AUG030300-00,yes,87,300,True,False,-35,no
