series,ticker,side,ask,secs_left,prior_asks,accel,won,profit
KXBTC15M,KXBTC15M-26JUN240715-15,no,95,360,"84,87,90",True,True,2.2
KXBTC15M,KXBTC15M-26JUN240630-30,no,94,360,"82,84,82",False,True,2.67
KXBTC15M,KXBTC15M-26JUN240615-15,no,91,540,"87,85,87",False,True,4.14
KXBTC15M,KXBTC15M-26JUN240530-30,no,95,300,"87,90,93",True,True,2.2
KXBTC15M,KXBTC15M-26JUN240515-15,no,92,240,"86,93,92",False,True,3.64
KXBTC15M,KXBTC15M-26JUN240430-30,yes,90,180,"84,82,86",False,True,4.65
KXBTC15M,KXBTC15M-26JUN240330-30,no,95,300,"88,87,84",False,True,2.2
KXBTC15M,KXBTC15M-26JUN240215-15,no,94,600,"80,81,87",True,True,2.67
KXBTC15M,KXBTC15M-26JUN240200-00,no,92,360,"80,83,88",True,True,3.64
KXBTC15M,KXBTC15M-26JUN240145-45,yes,92,300,"96,97,98",True,True,3.64
KXBTC15M,KXBTC15M-26JUN240100-00,yes,93,600,"80,91,91",True,True,3.15
KXBTC15M,KXBTC15M-26JUN240045-45,yes,90,540,"90,84,87",False,True,4.65
KXBTC15M,KXBTC15M-26JUN240015-15,no,90,420,"85,86,87",True,True,4.65
KXBTC15M,KXBTC15M-26JUN232345-45,yes,92,540,"82,80,86",False,True,3.64
KXBTC15M,KXBTC15M-26JUN232330-30,no,90,540,"85,89,94",True,False,-45
KXBTC15M,KXBTC15M-26JUN232245-45,no,91,360,"85,92,93",True,True,4.14
KXBTC15M,KXBTC15M-26JUN232230-30,no,95,480,"83,87,91",True,True,2.2
KXBTC15M,KXBTC15M-26JUN232215-15,no,95,360,"86,90,93",True,True,2.2
KXBTC15M,KXBTC15M-26JUN232145-45,yes,94,600,"93,89,94",False,True,2.67
KXBTC15M,KXBTC15M-26JUN232130-30,no,94,600,"89,92,93",True,True,2.67
KXBTC15M,KXBTC15M-26JUN232115-15,no,92,420,"84,91,93",True,True,3.64
KXBTC15M,KXBTC15M-26JUN232000-00,yes,92,600,"92,89,92",False,True,3.64
KXBTC15M,KXBTC15M-26JUN231915-15,no,94,300,"86,91,86",False,True,2.67
KXBTC15M,KXBTC15M-26JUN231845-45,no,95,180,"87,89,89",True,True,2.2
KXBTC15M,KXBTC15M-26JUN231715-15,yes,95,480,"84,92,94",True,True,2.2
KXBTC15M,KXBTC15M-26JUN231530-30,no,90,420,"82,86,89",True,False,-45
KXBTC15M,KXBTC15M-26JUN231515-15,yes,92,480,"82,93,96",True,True,3.64
KXBTC15M,KXBTC15M-26JUN231445-45,no,90,480,"82,83,86",True,True,4.65
KXBTC15M,KXBTC15M-26JUN231030-30,yes,90,540,"86,89,91",True,False,-45
KXBTC15M,KXBTC15M-26JUN230945-45,yes,94,540,"93,94,93",False,True,2.67
KXBTC15M,KXBTC15M-26JUN230930-30,no,93,300,"86,92,90",False,True,3.15
KXBTC15M,KXBTC15M-26JUN230800-00,no,93,420,"95,96,96",True,True,3.15
KXBTC15M,KXBTC15M-26JUN230745-45,yes,95,180,"87,96,97",True,True,2.2
KXBTC15M,KXBTC15M-26JUN230615-15,yes,94,540,"91,93,93",True,True,2.67
KXBTC15M,KXBTC15M-26JUN230530-30,yes,92,180,"84,87,88",True,True,3.64
KXBTC15M,KXBTC15M-26JUN230445-45,yes,95,480,"81,89,93",True,True,2.2
KXBTC15M,KXBTC15M-26JUN230430-30,no,91,480,"88,92,91",False,True,4.14
KXBTC15M,KXBTC15M-26JUN230315-15,yes,95,180,"83,92,90",False,True,2.2
KXBTC15M,KXBTC15M-26JUN230245-45,yes,90,360,"82,84,90",True,True,4.65
KXBTC15M,KXBTC15M-26JUN230045-45,no,95,480,"83,93,93",True,True,2.2
KXBTC15M,KXBTC15M-26JUN230030-30,no,95,420,"92,96,97",True,True,2.2
KXBTC15M,KXBTC15M-26JUN230000-00,yes,91,360,"91,89,91",False,True,4.14
KXBTC15M,KXBTC15M-26JUN222315-15,no,94,600,"87,89,93",True,True,2.67
KXBTC15M,KXBTC15M-26JUN222230-30,yes,90,300,"89,92,83",False,True,4.65
KXBTC15M,KXBTC15M-26JUN222200-00,no,94,600,"87,90,90",True,False,-45
KXBTC15M,KXBTC15M-26JUN222045-45,yes,93,600,"84,90,92",True,True,3.15
KXBTC15M,KXBTC15M-26JUN222030-30,no,91,360,"82,85,88",True,True,4.14
KXBTC15M,KXBTC15M-26JUN221900-00,yes,93,420,"82,88,90",True,True,3.15
KXBTC15M,KXBTC15M-26JUN221830-30,no,94,480,"80,82,96",True,True,2.67
KXBTC15M,KXBTC15M-26JUN221800-00,yes,91,360,"95,89,80",False,True,4.14
KXBTC15M,KXBTC15M-26JUN221700-00,no,94,360,"84,93,97",True,True,2.67
KXBTC15M,KXBTC15M-26JUN221615-15,yes,95,540,"84,89,92",True,True,2.2
