series,ticker,side,ask,hour_utc,secs_left,won,profit
KXBTC15M,KXBTC15M-26JUN221330-30,no,94,17,360,True,2.67
KXBTC15M,KXBTC15M-26JUN221315-15,no,95,17,300,True,2.2
KXBTC15M,KXBTC15M-26JUN221215-15,no,94,16,360,True,2.67
KXBTC15M,KXBTC15M-26JUN221200-00,no,95,16,420,True,2.2
KXBTC15M,KXBTC15M-26JUN221130-30,no,92,15,420,True,3.64
KXBTC15M,KXBTC15M-26JUN211345-45,no,90,17,180,False,-45
KXBTC15M,KXBTC15M-26JUN211330-30,no,95,17,360,True,2.2
KXBTC15M,KXBTC15M-26JUN211315-15,yes,93,17,360,True,3.15
KXBTC15M,KXBTC15M-26JUN211300-00,yes,95,17,420,True,2.2
KXBTC15M,KXBTC15M-26JUN211245-45,no,90,16,480,True,4.65
KXBTC15M,KXBTC15M-26JUN211215-15,no,92,16,300,True,3.64
KXBTC15M,KXBTC15M-26JUN211200-00,no,95,16,420,True,2.2
KXBTC15M,KXBTC15M-26JUN211145-45,no,90,15,480,False,-45
KXBTC15M,KXBTC15M-26JUN211115-15,yes,91,15,540,True,4.14
KXBTC15M,KXBTC15M-26JUN201345-45,no,93,17,360,True,3.15
KXBTC15M,KXBTC15M-26JUN201330-30,no,91,17,180,True,4.14
KXBTC15M,KXBTC15M-26JUN201315-15,no,93,17,360,True,3.15
KXBTC15M,KXBTC15M-26JUN201230-30,yes,95,16,240,True,2.2
KXBTC15M,KXBTC15M-26JUN201215-15,no,93,16,360,True,3.15
KXBTC15M,KXBTC15M-26JUN201145-45,no,95,15,240,True,2.2
KXBTC15M,KXBTC15M-26JUN201130-30,yes,92,15,480,True,3.64
KXBTC15M,KXBTC15M-26JUN191345-45,yes,90,17,420,True,4.65
KXBTC15M,KXBTC15M-26JUN191330-30,yes,90,17,480,False,-45
KXBTC15M,KXBTC15M-26JUN191300-00,no,95,17,420,True,2.2
KXBTC15M,KXBTC15M-26JUN191145-45,yes,90,15,480,True,4.65
KXBTC15M,KXBTC15M-26JUN181315-15,no,91,17,420,True,4.14
KXBTC15M,KXBTC15M-26JUN181245-45,yes,91,16,180,True,4.14
KXBTC15M,KXBTC15M-26JUN181215-15,yes,92,16,540,True,3.64
KXBTC15M,KXBTC15M-26JUN181115-15,no,90,15,540,True,4.65
KXBTC15M,KXBTC15M-26JUN171145-45,yes,94,15,240,True,2.67
KXBTC15M,KXBTC15M-26JUN161300-00,no,95,17,300,True,2.2
KXBTC15M,KXBTC15M-26JUN161200-00,yes,95,16,240,True,2.2
KXBTC15M,KXBTC15M-26JUN161115-15,yes,91,15,360,True,4.14
KXBTC15M,KXBTC15M-26JUN151315-15,no,92,17,540,True,3.64
KXBTC15M,KXBTC15M-26JUN151230-30,no,90,16,540,True,4.65
KXBTC15M,KXBTC15M-26JUN151215-15,no,90,16,420,False,-45
KXBTC15M,KXBTC15M-26JUN151200-00,yes,94,16,600,True,2.67
KXBTC15M,KXBTC15M-26JUN151100-00,yes,93,15,480,True,3.15
KXBTC15M,KXBTC15M-26JUN141345-45,no,92,17,180,True,3.64
KXBTC15M,KXBTC15M-26JUN141115-15,yes,93,15,600,True,3.15
