series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG032030-30,80-84c,no,80,600,True,8.14,True
KXBTC15M,KXBTC15M-26AUG031945-45,85-89c,no,86,600,True,5.3,True
KXBTC15M,KXBTC15M-26AUG031945-45,90-95c,no,91,540,True,3.22,True
KXBTC15M,KXBTC15M-26AUG031930-30,90-95c,yes,94,180,True,2.08,True
KXBTC15M,KXBTC15M-26AUG031900-00,90-95c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG031830-30,85-89c,yes,85,540,True,5.74,True
KXBTC15M,KXBTC15M-26AUG031830-30,90-95c,yes,91,180,True,3.22,True
KXBTC15M,KXBTC15M-26AUG031815-15,90-95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26AUG031715-15,90-95c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG031630-30,90-95c,yes,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG031630-30,80-84c,yes,83,360,True,6.67,True
KXBTC15M,KXBTC15M-26AUG031630-30,85-89c,yes,88,300,True,4.44,True
KXBTC15M,KXBTC15M-26AUG031430-30,80-84c,no,83,480,True,6.67,True
KXBTC15M,KXBTC15M-26AUG031430-30,90-95c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG031015-15,80-84c,no,80,600,True,8.14,True
KXBTC15M,KXBTC15M-26AUG031015-15,75-79c,no,79,540,True,8.65,True
KXBTC15M,KXBTC15M-26AUG030930-30,90-95c,yes,95,480,False,-35,True
KXBTC15M,KXBTC15M-26AUG030830-30,85-89c,yes,89,420,True,4.02,True
KXBTC15M,KXBTC15M-26AUG030815-15,90-95c,no,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26AUG030815-15,85-89c,no,88,180,True,4.44,True
KXBTC15M,KXBTC15M-26AUG030800-00,90-95c,no,91,360,True,3.22,True
KXBTC15M,KXBTC15M-26AUG030745-45,90-95c,yes,90,420,False,-35,True
KXBTC15M,KXBTC15M-26AUG030745-45,75-79c,yes,78,360,False,-35,True
KXBTC15M,KXBTC15M-26AUG030715-15,80-84c,no,83,600,True,6.67,True
KXBTC15M,KXBTC15M-26AUG030715-15,90-95c,no,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG030700-00,85-89c,no,87,480,False,-35,True
KXBTC15M,KXBTC15M-26AUG030700-00,75-79c,no,75,420,False,-35,True
KXBTC15M,KXBTC15M-26AUG030645-45,90-95c,no,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG030615-15,90-95c,no,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG030600-00,90-95c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG030230-30,85-89c,no,85,360,True,5.74,True
KXBTC15M,KXBTC15M-26AUG030230-30,90-95c,no,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26AUG030145-45,85-89c,no,86,360,True,5.3,True
KXBTC15M,KXBTC15M-26AUG030145-45,75-79c,no,79,300,True,8.65,True
KXBTC15M,KXBTC15M-26AUG030130-30,80-84c,no,80,240,True,8.14,True
KXBTC15M,KXBTC15M-26AUG030030-30,90-95c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG030000-00,85-89c,no,87,600,True,4.86,True
KXBTC15M,KXBTC15M-26AUG030000-00,90-95c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG022245-45,90-95c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG022230-30,80-84c,yes,83,360,False,-35,True
KXBTC15M,KXBTC15M-26AUG022200-00,90-95c,no,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26AUG022115-15,85-89c,no,89,240,True,4.02,True
KXBTC15M,KXBTC15M-26AUG022115-15,90-95c,no,90,180,True,3.62,True
KXBTC15M,KXBTC15M-26AUG021930-30,90-95c,yes,95,480,True,1.71,True
